,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,14.7,-8.9,39.3,1388.6,430.0,286.1,15.0,,1016.7,0.0
1,18.0,2.2,39.4,122.5,,146.1,8.9,,1014.3,0.0
2,12.7,-21.1,35.6,884.8,660.0,239.0,15.5,,1016.9,0.0
3,25.6,9.4,35.6,1526.7,230.0,92.2,12.3,,1017.6,0.0
4,20.3,-16.6,38.9,932.2,100.0,145.8,13.3,,1016.2,0.0
5,14.2,-8.9,36.1,1103.1,150.0,295.2,11.9,,1017.5,0.0
6,21.6,-10.4,37.3,1243.5,30.0,108.9,11.9,,1016.7,0.0
7,17.1,-5.8,34.2,1292.5,,311.4,7.8,,1018.3,0.0
8,15.8,-4.4,36.0,1104.1,50.0,264.6,13.3,,1017.9,0.0
9,12.7,-14.0,37.6,1268.3,460.0,282.6,17.1,,1015.8,112901.0
10,24.1,2.6,46.0,239.7,0.0,191.1,9.8,,1011.7,0.0
11,11.8,-4.4,38.9,1134.2,180.0,155.0,9.3,,1017.7,0.0
12,14.0,3.1,31.4,307.8,,291.8,17.0,,1016.7,0.0
13,12.7,-18.0,33.9,910.9,350.0,274.0,12.5,81.0,1017.0,0.0
14,17.0,3.2,34.6,196.0,0.0,299.6,9.1,,1015.2,0.0
15,9.9,-28.9,37.2,697.3,250.0,280.4,12.2,,1015.9,0.0
16,23.8,4.9,35.9,993.5,0.0,53.3,10.2,,1018.2,0.0
17,11.9,-23.2,37.4,29.7,410.0,134.0,12.9,,1014.7,0.0
18,14.7,-8.9,39.3,1388.6,430.0,286.1,15.0,,1016.7,0.0
19,13.6,-9.4,34.3,1061.7,330.0,264.1,18.1,,1017.0,0.0
20,19.0,1.6,41.0,145.1,,249.8,8.9,,1014.0,0.0
21,13.9,-9.9,34.9,1042.9,80.0,279.1,11.4,,1017.5,0.0
22,22.8,0.1,46.9,42.7,0.0,293.8,12.4,,1013.3,0.0
23,13.4,-4.6,46.4,723.5,250.0,306.1,11.1,,1018.3,0.0
24,21.3,-12.5,38.0,856.7,100.0,114.7,13.2,,1015.6,0.0
25,14.0,-19.1,37.0,953.4,180.0,218.3,10.9,,1017.5,0.0
26,16.7,-2.7,42.8,306.8,0.0,217.3,9.9,,1015.5,0.0
27,23.4,3.9,36.1,979.7,0.0,71.0,11.6,,1018.4,0.0
28,16.5,0.4,39.9,294.2,,290.6,8.2,,1016.8,0.0
29,13.3,-12.3,33.8,900.4,180.0,226.4,17.6,,1017.1,0.0
30,12.9,-15.9,34.0,954.4,200.0,255.5,11.2,,1018.1,0.0
31,21.2,-13.7,39.0,916.5,150.0,134.8,7.0,,1016.6,0.0
32,12.8,-16.6,33.9,1214.2,250.0,286.1,9.0,,1018.4,0.0
33,14.7,-22.3,37.1,1017.3,80.0,184.5,13.0,,1016.5,0.0
34,13.6,-9.2,35.8,1229.1,430.0,281.2,12.4,,1017.4,0.0
35,13.1,-17.6,34.5,1174.3,200.0,224.6,15.0,,1017.6,0.0
36,13.6,-14.8,34.1,1002.6,,251.7,12.5,,1017.7,0.0
37,17.4,-6.5,35.7,852.6,0.0,261.4,9.9,,1018.4,0.0
38,16.4,-5.0,52.0,1097.7,80.0,275.7,9.1,,1018.1,0.0
39,13.7,-9.1,35.9,1229.1,430.0,281.2,12.4,,1017.4,0.0
40,9.2,-23.9,33.1,625.3,560.0,243.3,13.3,,1017.3,0.0
41,12.7,-14.2,36.2,1154.4,150.0,281.5,13.6,,1016.1,0.0
42,20.7,-1.9,35.1,1210.9,0.0,144.3,11.7,,1018.8,0.0
43,13.9,-8.2,41.7,343.9,150.0,150.9,12.5,,1015.1,0.0
44,15.8,-12.9,36.1,1352.4,100.0,245.9,9.0,,1018.3,0.0
45,15.9,-8.2,35.6,1176.0,50.0,273.5,11.7,,1018.1,0.0
46,17.8,-17.0,35.7,1243.5,150.0,177.5,12.6,,1017.8,0.0
47,16.9,-6.3,38.1,1108.4,50.0,261.0,9.0,,1018.3,0.0
48,22.1,-18.0,43.0,1697.4,,89.4,16.5,,1017.3,0.0
49,15.7,-12.2,36.0,1165.2,130.0,202.7,12.0,,1017.9,0.0
50,16.2,-25.3,36.9,798.4,250.0,152.5,17.8,,1016.2,0.0
51,13.0,-11.1,35.5,1113.0,410.0,298.1,13.7,,1016.4,0.0
